pair_id,pivot_x,pivot_y,topk,source_id:int,target_id:int,label_id:int
0,2,0,1,0,1,2
1,3,0,1,0,1,2
1,3,0,1,0,2,2
2,4,0,1,0,1,2
2,4,0,1,0,2,2
2,4,0,1,0,3,2
3,1,0,1,0,1,1
4,1,0,1,0,1,1
4,1,0,1,1,2,5
5,1,0,1,0,1,1
5,1,0,1,0,3,2
5,1,0,1,1,2,5
6,1,0,1,0,1,1
6,1,0,1,0,2,2
7,1,0,1,0,1,1
7,1,0,1,0,2,2
7,1,0,1,0,3,2
8,1,0,1,0,1,1
8,1,0,1,0,2,2
8,1,0,1,0,3,2
8,1,0,1,0,4,2
9,1,0,1,0,1,1
9,1,0,1,0,2,1
10,1,0,1,0,1,1
10,1,0,1,0,2,1
10,1,0,1,0,3,2
11,1,0,1,0,1,1
11,1,0,1,0,2,1
11,1,0,1,0,3,2
11,1,0,1,0,4,2
12,1,0,1,0,1,1
12,1,0,1,0,2,1
12,1,0,1,0,3,2
12,1,0,1,0,4,2
12,1,0,1,0,5,2
13,0,2,1,0,1,5
14,0,3,1,0,1,5
14,0,3,1,0,2,5
15,0,4,1,0,1,5
15,0,4,1,0,2,5
15,0,4,1,0,3,5
16,0,3,1,0,1,5
16,0,3,1,0,2,6
17,0,2,1,0,1,4
18,0,3,1,0,1,4
18,0,3,1,0,2,5
19,1,0,1,0,1,0
20,1,0,1,0,1,0
20,1,0,1,1,2,6
21,0,2,1,0,1,6
22,0,3,1,0,1,6
22,0,3,1,0,2,6
